,unit_id,duration,half_width,pt_ratio,repol_slope,recov_slope,spread,prop_vel_above,prop_vel_below
8014,8203,1.1023622047244108,0.22047244094488216,-1.082694815685575,2.1233677348097775,2.1233677348097775,24,72.57142857142848,136.0714285714284
8015,8204,1.1464566929133873,0.22047244094488216,-1.1754172418092665,2.070754276303304,2.070754276303304,28,85.04464285714275,161.98979591836715
8016,8205,1.1023622047244108,0.22047244094488216,-0.8311461618341843,2.2692582206875427,2.2692582206875427,14,72.15909090909082,181.4285714285712
8017,8206,1.1023622047244108,0.22047244094488216,-1.2471788289050538,2.201360793118097,2.201360793118097,21,37.797619047619,161.98979591836715
8018,8207,1.1023622047244108,0.22047244094488216,-0.8143223166333191,2.2578517528934703,2.2578517528934703,13,51.542207792207726,151.190476190476
8019,8208,1.1023622047244108,0.22047244094488216,-0.9894284371459221,2.191236744926852,2.191236744926852,15,46.387987012986954,161.98979591836715
8020,8209,1.1464566929133873,0.22047244094488216,-0.6488532344736926,2.245252442720283,2.245252442720283,12,73.95186335403717,151.190476190476
8021,8210,1.1023622047244108,0.22047244094488216,-0.8236750077705097,2.160518408384888,2.160518408384888,12,78.20197044334965,194.3877551020406
8022,8211,1.0582677165354344,0.22047244094488216,-0.8099951863035804,2.2076793335375102,2.2076793335375102,19,81.64285714285704,136.0714285714284
8023,8212,1.1905511811023637,0.22047244094488216,-0.9352354889913155,2.2112860665545298,2.2112860665545298,16,53.99659863945572,161.98979591836715
8024,8213,1.1023622047244108,0.22047244094488216,-1.1573517356548635,2.191358407657512,2.191358407657512,22,66.70168067226882,34.23180592991909
8025,8214,1.1905511811023637,0.2645669291338586,-1.5227189867551318,2.042174472260255,2.042174472260255,29,89.09438775510193,151.190476190476
8026,8215,1.1023622047244108,0.22047244094488216,-0.7260534115786126,2.1917553240934327,2.1917553240934327,19,82.46753246753237,136.0714285714284
8027,8216,1.1023622047244108,0.22047244094488216,-0.8711164145781902,2.2766478161614687,2.2766478161614687,12,55.436507936507866,161.98979591836715
8028,8217,1.2346456692913401,0.22047244094488216,-0.9505735307587104,2.2243109505799787,2.2243109505799787,24,85.81081081081071,161.98979591836715
8029,8218,1.1464566929133873,0.22047244094488216,-1.0134542304675824,2.1984721655898958,2.1984721655898958,18,50.026260504201616,188.988095238095
8030,8219,1.1023622047244108,0.2645669291338586,-1.6647547293117013,1.9106529094389721,1.9106529094389721,30,92.77597402597391,136.0714285714284
8031,8220,1.1023622047244108,0.22047244094488216,-0.6974558573294977,2.249464382727557,2.249464382727557,13,85.04464285714275,188.988095238095
8032,8221,1.1023622047244108,0.22047244094488216,-0.9751071947739269,2.141917826752331,2.141917826752331,17,77.58458646616532,173.42436974789894
